"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1389220","occ","","","16977","Stylemys nebrascensis","species","235294","Chadronian","","37.2","33.9","64377"
"1389221","occ","","","16977","Stylemys nebrascensis","species","235294","Chadronian","","37.2","33.9","64377"
"1389573","occ","","","191058","Manouria oyamai","species","364854","Late Pleistocene","","0.126","0.0117","64406"
"1389574","occ","","","191059","Manouria oyamai","species","364854","Late Pleistocene","","0.126","0.0117","64406"
"1389575","occ","","","191060","Manouria oyamai","species","364854","Late Pleistocene","","0.126","0.0117","64406"
"1389576","occ","","","191061","Manouria oyamai","species","364854","Late Pleistocene","","0.126","0.0117","64406"
"1389577","occ","","","48721","Manouria oyamai","species","364854","Pleistocene","","2.588","0.0117","64406"
"1391144","occ","","","191365","Aldabrachelys gigantea","species","365355","Late Pleistocene","","0.126","0.0117","64549"
"1391265","occ","","","191398","Testudo brontops","species","96498","Chadronian","","37.2","33.9","23561"
"1391461","occ","","","191451","Hesperotestudo turgida","species","121672","Late Pliocene","","3.6","2.588","64597"
"1391672","occ","","","149143","Chelonoidis carbonarius","species","242701","Late Pleistocene","","0.126","0.0117","64607"
"1391724","occ","","","20498","Testudo hexagonata","species","365639","Irvingtonian","","1.8","0.3","53742"
"1391732","occ","34443","","191555","Hesperotestudo gilbertii","species","173078","Tortonian","Zanclean","11.62","3.6","55607"
"1391950","occ","","","191646","Testudo globosa","species","365833","Pliocene","","5.333","2.588","64640"
"1392981","occ","","","191836","Hesperotestudo osborniana","species","121689","Hemingfordian","Barstovian","20.43","13.6","64729"
"1392987","occ","","","17735","Hesperotestudo osborniana","species","121689","Harrisonian","","24.8","20.43","64739"
"1393308","occ","","","191902","Gopherus brevisternus","species","105220","Arikareean","","30.8","20.43","64765"
"1393311","occ","","","191903","Gopherus edae","species","105236","Harrisonian","","24.8","20.43","64739"
"1393357","occ","36625","","18626","Hesperotestudo williamsi","species","366302","Hemingfordian","","20.43","15.97","64768"
"1393358","occ","","","17885","Stylemys inusitata","species","366304","Hemingfordian","","20.43","15.97","64739"
"1393415","occ","","","18579","Geochelone (Hesperotestudo) wilsoni","species","119613","Burdigalian","","20.44","15.97","64777"
"1393418","occ","","","167203","Geochelone (Hesperotestudo) wilsoni","species","119613","Late Oligocene","","28.4","23.03","64777"
"1393421","occ","","","191910","Hesperotestudo turgida","species","121672","Late Pliocene","Early Pleistocene","3.6","0.781","64778"
"1393422","occ","","","19963","Hesperotestudo turgida","species","121672","Blancan","","4.9","1.8","64778"
"1393423","occ","","","19235","Gopherus depressus","species","105233","Hemingfordian","Barstovian","20.43","13.6","759"
"1393424","occ","","","20037","Gopherus hexagonatus","species","105238","Blancan","","4.9","1.8","3326"
"1393426","occ","","","20283","Gopherus auffenbergi","species","105219","Irvingtonian","","1.8","0.3","64779"
"1393427","occ","","","20283","Gopherus auffenbergi","species","105219","Irvingtonian","","1.8","0.3","64780"
"1393472","occ","","","180202","Stylemys capax","species","105280","Arikareean","","30.8","20.43","14442"
"1393473","occ","","","180202","Stylemys capax","species","105280","Arikareean","","30.8","20.43","14442"
"1393495","occ","","","34269","Hesperotestudo crassiscutata","species","173079","Late Pleistocene","","0.126","0.0117","64327"
"1393519","occ","","","191451","Gopherus hexagonatus","species","105238","Late Pliocene","","3.6","2.588","14442"
"1393521","occ","","","17745","Stylemys nebrascensis","species","235294","Harrisonian","","24.8","20.43","14442"
"1393523","occ","","","191916","Hesperotestudo osborniana","species","121689","Barstovian","","15.97","13.6","14442"
"1393542","occ","","","191918","Hesperotestudo osborniana","species","121689","Hemphillian","","10.3","4.9","14442"
"1393546","occ","","","191836","Gopherus edae","species","105236","Hemingfordian","Barstovian","20.43","13.6","14442"
"1393553","occ","","","19940","Hesperotestudo orthopygia","species","67779","Blancan","","4.9","1.8","64804"
"1393554","occ","","","19936","Hesperotestudo orthopygia","species","67779","Blancan","","4.9","1.8","64804"
"1393556","occ","","","191921","Gopherus edae","species","105236","Barstovian","","15.97","13.6","14442"
"1396749","occ","","","192424","Testudo graeca","species","364325","Middle Pleistocene","","0.781","0.126","65127"
"1396785","occ","","","192425","Testudo graeca","species","364325","Middle Pleistocene","","0.781","0.126","65127"
