"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1477714","occ","","","206130","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1477715","occ","","","206131","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","62539"
"1479561","occ","","","206227","Gopherus polyphemus","species","55036","Pleistocene","","2.588","0.0117","70774"
"1485434","occ","","","167995","Protestudo bessarabica","species","383995","MN 12","","7.75","7.246","71048"
"1494416","occ","","","197674","Titanochelon bolivari","species","268040","Middle Miocene","","15.97","11.608","71661"
"1497233","occ","","","68914","Paleotestudo antiqua","species","358124","MN 11","","8.7","7.75","71915"
"1497234","occ","","","68914","Titanochelon bolivari","species","268040","MN 11","","8.7","7.75","71915"
"1497236","occ","","","208187","Titanochelon bolivari","species","268040","Middle Miocene","","15.97","11.608","71916"
"1498466","occ","","","208499","Chelonoidis gringorum","species","105264","Early Miocene","","23.03","15.97","71994"
"1498467","occ","","","208500","Chelonoidis gringorum","species","105264","Early Miocene","","23.03","15.97","71994"
"1498468","occ","","","208501","Chelonoidis gringorum","species","105264","Early Miocene","","23.03","15.97","71994"
"1498469","occ","","","208502","Chelonoidis gringorum","species","105264","Early Miocene","","23.03","15.97","71994"
"1498470","occ","","","208503","Chelonoidis gringorum","species","105264","Early Miocene","","23.03","15.97","71994"
"1498475","occ","","","208506","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","71994"
"1498476","occ","","","208507","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","71994"
"1498477","occ","","","208508","Chelonoidis gringorum","species","105264","Middle Miocene","","15.97","11.608","71994"
"1498782","occ","","","208566","Testudo marmorum","species","347955","Turolian","","8.7","5.333","72006"
"1498810","occ","","","208567","Testudo marmorum","species","347955","Turolian","","8.7","5.333","72006"
"1498838","occ","","","208568","Testudo marmorum","species","347955","Turolian","","8.7","5.333","72006"
"1498861","occ","","","208569","Testudo marmorum","species","347955","Turolian","","8.7","5.333","72006"
"1498863","occ","","","208570","Testudo antiqua","species","364327","Late Miocene","","11.608","5.333","72007"
"1498864","occ","","","95691","Titanochelon schafferi","species","347950","Messinian","","7.246","5.333","72007"
"1498865","occ","","","95690","Titanochelon schafferi","species","347950","Messinian","","7.246","5.333","72007"
"1498872","occ","","","208572","Centrochelys vulcanica","species","413868","Pliocene","","5.333","2.588","72012"
"1499775","occ","","","191070","Testudo hellenica","species","414403","Vallesian","","11.608","8.7","72042"
"1500087","occ","","","208787","Chersine hermanni","species","94333","Holocene","","0.0117","0","72065"
"1513790","occ","","","211245","Chelonoidis carbonarius","species","242701","Pleistocene","","2.588","0.0117","72932"
"1513791","occ","","","211246","Centrochelys burchardi","species","422829","Middle Pleistocene","","0.781","0.126","72933"
"1513792","occ","","","211247","Centrochelys punica","species","422830","Early Pliocene","","5.333","3.6","79068"
"1525204","occ","","","144173","Geochelone pardalis","species","376119","Gelasian","Calabrian","2.588","0.781","66491"
"1525205","occ","","","22593","Geochelone pardalis","species","376119","Gelasian","","2.588","1.806","66491"
"1537698","occ","","","50916","Chersine khosatzkyi","species","429671","MN 15","","4.2","3.2","74606"
"1538695","occ","","","144047","Paleotestudo mellingi","species","430088","Langhian","","15.97","13.82","74675"
"1541206","occ","","","184395","Protestudo bessarabica","species","383995","Late Miocene","","11.608","5.333","74972"
"1542087","occ","","","18123","Geochelone (Hesperotestudo) orthopygia","species","110639","Barstovian","","15.97","13.6","75143"
"1545276","occ","","","217467","Titanochelon bolivari","species","268040","Burdigalian","","20.44","15.97","75533"
"1545278","occ","","","217466","Titanochelon bolivari","species","268040","Burdigalian","","20.44","15.97","75533"
"1554576","occ","","","24201","Palaeoemys hessiaca","species","338751","MP 13","","48.6","40.4","76228"
"1554580","occ","","","24201","Pelorochelon eocaenica","species","132786","MP 13","","48.6","40.4","76228"
"1554582","occ","","","24201","Eochersis eiflaensis","species","435361","MP 13","","48.6","40.4","76228"
"1560124","occ","","","181100","Testudo lamanonii","species","437593","Oligocene","Early Miocene","33.9","15.97","63677"
"1560129","occ","","","31747","Testudo lamanonii","species","437593","Priabonian","","38","33.9","12784"
"1568133","occ","","","221412","Chersine hermanni","species","94333","Late Pleistocene","","0.126","0.0117","77543"
"1568150","occ","","","221413","Chersine hermanni","species","94333","Late Pleistocene","","0.126","0.0117","77543"
"1568159","occ","","","221414","Chersine hermanni","species","94333","Late Pleistocene","","0.126","0.0117","77543"
"1568174","occ","","","221415","Chersine hermanni","species","94333","Late Pleistocene","","0.126","0.0117","77543"
"1568203","occ","","","221416","Chersine hermanni","species","94333","Late Pleistocene","","0.126","0.0117","77543"
"1568223","occ","","","221420","Chersine hermanni","species","94333","Middle Pleistocene","","0.781","0.126","77543"
"1568250","occ","","","221422","Chersine hermanni","species","94333","Middle Pleistocene","","0.781","0.126","77543"
"1568265","occ","","","221424","Chersine hermanni","species","94333","Middle Pleistocene","","0.781","0.126","77543"
"1578371","occ","","","190142","Testudo kalksburgensis","species","380346","Orleanian","","20","15.97","78407"
"1578373","occ","","","200140","Testudo kalksburgensis","species","380346","Orleanian","","20","15.97","78407"
"1578376","occ","","","222819","Testudo kalksburgensis","species","380346","Orleanian","","20","15.97","78407"
"1578378","occ","","","222818","Testudo kalksburgensis","species","380346","Orleanian","","20","15.97","78407"
"1578380","occ","","","222817","Testudo kalksburgensis","species","380346","Orleanian","","20","15.97","78407"
"1578481","occ","","","53970","Namibchersus namaquensis","species","203528","MN 4","","16.9","15.97","78416"
"1581319","occ","","","20280","Gopherus agassizii","species","105217","Irvingtonian","","1.8","0.3","78568"
"1584839","occ","","","223987","Chelonoidis petrocellii","species","446396","Middle Pleistocene","","0.781","0.126","78914"
"1587288","occ","","","224295","Indotestudo forstenii","species","376558","Late Pliocene","","3.6","2.588","79680"
"1595571","occ","","","225602","Hesperotestudo harrisi","species","456349","Barstovian","","15.97","13.6","81718"
